"id","pergunta","resposta","createdAt","updatedAt"
"1","Qual a especialidade de Thor?","ORTHORpedista.","2017-09-02","2017-09-02"
"2","Qual é a luta dos Gaúchos?","KaraTCHÊ.","2017-09-02","2017-09-02"
"3","Qual é o carro movido a suco?","MusTANG","2017-09-02","2017-09-02"
"4","Qual é a roupa preferido do macaco?","Macacão.","2017-09-02","2017-09-02"
"5","Qual é o fenômeno da Natureza que o Thor tem medo?","Thornado.","2017-09-02","2017-09-02"
"6","Qual a cantora que mais gosta de rir?","Ri-hanna.","2017-09-02","2017-09-02"
"7","Qual a parte do corpo do Thor que ele mais gosta?","THORax.","2017-09-02","2017-09-02"
"8","Qual a cantora gosta muito de tomar chá?","Chá-quira.","2017-09-02","2017-09-02"
"9","Qual é o fruto preferido do Thor?","Thormate.","2017-09-02","2017-09-02"
"10","Quando foi a primeira vez que os povos da América comeram carne?","Quando chegou Cristóvão Com-lombo.","2017-09-02","2017-09-02"
"11","Qual é a parte do banheiro que o Thor mais gosta?","Da Thorneira.","2017-09-02","2017-09-02"
"12","Qual é o país preferido no Natal?","Peru.","2017-09-02","2017-09-02"
"13","Qual é a tinta que quer ser uma cobra?","Coral.","2017-09-02","2017-09-02"
"14","Qual é a cidade preferida do Thor?","Thórquio.","2017-09-02","2017-09-02"
"15","O que o pastel falou para o outro pastel?","Estamos fritos.","2017-09-02","2017-09-02"
"16","O que nasce uma vez, nasce duas vezes, mas na terceira não nasce mais?","Dente.","2017-09-02","2017-09-02"
"17","O que o aluno fala para a professora e gosta de receber dos pais?","Presente.","2017-09-02","2017-09-02"
"18","O que acontece se um ciclista entrar em campo?","Ele faz um gol de bicicleta.","2017-09-02","2017-09-02"
"19","Qual é o estado preferido do Thor?","THORcantins.","2017-09-02","2017-09-02"
"20","Nunca para frente, sempre para trás, para crianças sou muito devagar, para adultos fui rápido demais. O que sou?","Infância.","2017-09-02","2017-09-02"
"21","Nos vire ao avesso, e abra nossas vísceras, você será o mais sábio dos homens, mas, sem nós, será um idiota. O que sou?","Livro.","2017-09-02","2017-09-02"
"22","De mim, surge vida, para mim, a vida retorna. Homens brigam pela minha posse, mas nenhum deles é meu dono. Água me cerca, mas ao redor dela eu vivo. Quem sou eu, meu amigo?","Terra.","2017-09-02","2017-09-02"
"23","Assisti ao nascimento de reis e rainhas, meus pés vão mais fundo e minha cabeça mais alto do que tudo que o homem cria. Muitos buscam algo no interior do meu coração, mas, amor, não é algo que encontrarão, como vocês me chamarão?","Montanha.","2017-09-02","2017-09-02"
"24","Qual é estado que gosta de cavar buracos?","Ama-pá.","2017-09-02","2017-09-02"
"25","Qual é o estado que gosta de bagunça?","Ama-zonas.","2017-09-02","2017-09-02"
"26","Qual é a cor preferida da tomada?","Rosa-choque.","2017-09-02","2017-09-02"
"27","Qual o tipo de panela que está sempre triste?","Panela depressão.","2017-09-02","2017-09-02"
"28","O que o dinossauro faz uma vez por ano?","Aniversauro.","2017-09-02","2017-09-02"
"29","O que o nadador faz para bater o recorde?","Nada.","2017-09-02","2017-09-02"
"30","Qual é a planta que está sempre babando?","A babosa.","2017-09-02","2017-09-02"
"31","Qual o estado do Brasil queria ser um veículo?","Sergipe.","2017-09-02","2017-09-02"
"32","O que é, o que é? É salgada e não veio do mar, é gota e não veio do céu, quando cai não quer parar, todo mundo já lambeu?","Lágrima.","2017-09-02","2017-09-02"
"33","Qual sapato anda de maneira desengonçada?","Tá-manco.","2017-09-02","2017-09-02"
"34","Não estou vivo, mas cresço. Não tenho pulmões, mas preciso de ar. Não tenho boca, mas a água me mata. O que eu sou?","Fogo.","2017-09-02","2017-09-02"
"35","O pato botou um ovo, para que lado o ovo rola?","Nenhum, porque pato não bota ovo, só a pata bota.","2017-09-02","2017-09-02"
"36","Por que o rio foi ao dentista?","Para fazer um canal.","2017-09-02","2017-09-02"
"37","Em que lugar no mundo mais chove?","No chão.","2017-09-02","2017-09-02"
"38","Qual é a cidade que quando chove molha os bêbados?","Bar-sem-lona.","2017-09-02","2017-09-02"
"39","Qual o cantor que é a favor da letra?","Pro-jota.","2017-09-02","2017-09-02"
"40","Qual a cantora que está bem e sempre pergunta sobre você?","Bem-y-ocê?","2017-09-02","2017-09-02"
"41","Qual a cidade favorita das moscas?","Boston.","2017-09-02","2017-09-02"
"42","Qual o estado brasileiro que começa com um membro do seu corpo?","Pernambuco.","2017-09-02","2017-09-02"
"43","O que é, o que é? Não tem pé e corre, tem leito e não dorme, quando para morre?","O rio.","2017-09-02","2017-09-02"
"44","Qual é o tipo de música preferida do Papai Noel?","É o Rock rou rou rou.","2017-09-02","2017-09-02"
"45","Quem é o dono da floresta?","Seu Vagem.","2017-09-02","2017-09-02"
"46","Qual o país que mais produz vinho?","Uva-ticano.","2017-09-02","2017-09-02"
"47","Qual a semelhança entre cachorros e ouro?","Tem uns quilate.","2017-09-02","2017-09-02"
"48","Como fazer uma visita inesperada ir embora?","Desligando o Wi-Fi.","2017-09-02","2017-09-02"
"49","Qual é a cantora que todo mundo respeita?","Lei de Gaga.","2017-09-02","2017-09-02"
"50","Qual é a operadora que sempre concorda?","Claro.","2017-09-02","2017-09-02"
"51","Qual é a operadora que nunca diz tchau?","Oi.","2017-09-02","2017-09-02"
"52","Qual é a piada do mecânico?","Aquela cheia de graxa.","2017-09-02","2017-09-02"
"53","Qual é a vó da bebida?","A Vó-dka.","2017-09-02","2017-09-02"
"54","Qual é a tia dos acessórios?","A Tia-ara.","2017-09-02","2017-09-02"
"55","O que o azeite disse para o vinagre?","Falo nada, só óleo.","2017-09-02","2017-09-02"
"56","Qual é a parte do corpo que não tem ar?","O só-vacuo.","2017-09-02","2017-09-02"
"57","O que um cientista careca disse para um outro cientista careca?","Lisossomos.","2017-09-02","2017-09-02"
"58","Por que o segurança ganha todas as corridas?","Porque segurança em primeiro lugar!","2017-09-02","2017-09-02"
"59","O que é uma velha sem relógio?","Uma sem hora.","2017-09-02","2017-09-02"
"60","Quem é o pai da horta?","O seu-noura.","2017-09-02","2017-09-02"
"61","Quem é a mãe da horta?","A mãe-dioca.","2017-09-02","2017-09-02"
"62","Qual é a cidade mais aplaudida do Brasil?","Palmas.","2017-09-02","2017-09-02"
"63","O que a ovelha disse para a avó?","Ô velha.","2017-09-02","2017-09-02"
"64","Qual o país que tem uma parte do corpo humano cheio da grana?","Costa Rica.","2017-09-02","2017-09-02"
"65","Qual é o jogador que corre dando risadas?","Kaká.","2017-09-02","2017-09-02"
"66","Qual língua os cães falam?","Latin.","2017-09-02","2017-09-02"
"67","Qual é o dia que nunca chega?","O amanhã.","2017-09-02","2017-09-02"
"68","O que o pires disse para a xícara?","Tira a bunda de cima de mim.","2017-09-02","2017-09-02"
"69","Responda se for capaz, sem ficar atrapalhado: nosso rei Pedro II, onde é que foi coroado?","Na cabeça.","2017-09-02","2017-09-02"
"70","De que o diabo morreu?","Diabetes.","2017-09-02","2017-09-02"
"71","Qual é a parte do corpo que está sempre ligada?","ON-bro.","2017-09-02","2017-09-02"
"72","Qual a cantora que tem medo de felinos?","Marília MedOnça.","2017-09-02","2017-09-02"
"73","O que passa por dentro de casa mas fica do lado de fora?","O botão da camisa.","2017-09-02","2017-09-02"
"74","Qual é o animal que começa pela fruta e termina pela marcha?","Jaca-ré.","2017-09-02","2017-09-02"
"75","Qual o aeroporto favorito do bêbado?","Viracopos.","2017-09-02","2017-09-02"
"76","Qual a metade de nove?","No.","2017-09-02","2017-09-02"
"77","O que a célula disse para o cabeleireiro?","Mitose.","2017-09-02","2017-09-02"
"78","Por que a mata é virgem?","Porque o vento é fresco.","2017-09-02","2017-09-02"
"79","Qual a capital mais admirada do mundo?","Caraaaaacas!","2017-09-02","2017-09-02"
"80","Qual automóvel está sempre ligado?","O on-ibus.","2017-09-02","2017-09-02"
"81","O que quanto mais cresce mais fica perto do chão?","Cabelo.","2017-09-02","2017-09-02"
"82","O que é duro em cima e mole embaixo?","Vassoura.","2017-09-02","2017-09-02"
"83","Por que a gata não quer beber Red Bull?","Porque ela prefere Gatorade.","2017-09-02","2017-09-02"
"84","O que é por dentro branco e por fora amarelo?","Banana.","2017-09-02","2017-09-02"
"85","Como se chamava o Renato Russo antes de 1991?","Renato Soviético.","2017-09-02","2017-09-02"
"86","Qual é a capital mais assustadora do mundo?","Bruxelas.","2017-09-02","2017-09-02"
"87","Como os sapos modernos se comunicam?","Web, web, web...","2017-09-02","2017-09-02"
"88","O que a galinha faz quando está com febre?","Bota ovo cozido.","2017-09-02","2017-09-02"
"89","Qual a fruta preferida dos anões?","Banana nanica.","2017-09-02","2017-09-02"
"90","O ursinho levou um tombo e caiu. Qual é o nome do desenho?","O Ursinho Puuuuuuf.","2017-09-02","2017-09-02"
"91","O que o lápis disse para o apontador?","Estou desapontado.","2017-09-02","2017-09-02"
"92","Qual é o ar mais inteligente?","Ar-con-dicionário.","2017-09-02","2017-09-02"
"93","O que o leite de caixinha disse pro leite de saquinho?","Vem pra Caixa você também!","2017-09-02","2017-09-02"
"94","Qual é o dinossauro mais cheiroso do mundo?","O Tiranossauro Rex-ona.","2017-09-02","2017-09-02"
"95","O rato roeu a roupa do rei de Roma. Quantas letras R têm isso?","A palavra ""isso"" não tem a letra R.","2017-09-02","2017-09-02"
"96","O que o cachorro saudável faz?","Ele light.","2017-09-02","2017-09-02"
"97","Qual o urso que mais salta?","O urso pular.","2017-09-02","2017-09-02"
"98","Qual é a metade de Oito?","Oi.","2017-09-02","2017-09-02"
"99","Sem dedos eu aponto, sem braços eu golpeio, sem pés eu corro. O que sou?","Relógio.","2017-09-02","2017-09-02"
"100","Qual é a evolução grudenta do James Bond?","Super Bonder.","2017-09-02","2017-09-02"
"101","Qual é o ator que mais usa o telefone?","Edson Celulari.","2017-09-02","2017-09-02"
"102","O que o verão disse pro outro?","Eu verei e eles verão.","2017-09-02","2017-09-02"
"103","O que uma abelha com sono disse pra outra?","Zzzzzzzzzzzz!","2017-09-02","2017-09-02"
"104","Por que não torço para o Botafogo?","Tenho medo de me queimar.","2017-09-02","2017-09-02"
"105","Por que o motorista do Neymar foi preso?","Porque ele estava transportando um crack.","2017-09-02","2017-09-02"
"106","Quem escuta tudo mas não fala pra ninguém?","As orelhas.","2017-09-02","2017-09-02"
"107","Por que o círculo sempre está quente?","Porque ele tem 360 graus.","2017-09-02","2017-09-02"
"108","Qual cor é elétrica?","Rosa choque.","2017-09-02","2017-09-02"
"109","Qual é o filme em que um pai dá 5 reais ao filho e manda ele devolver 2?","Mandagastar 3.","2017-09-02","2017-09-02"
"110","Qual o ator que leva a religião muito a sério?","Tom Cruz.","2017-09-02","2017-09-02"
"111","Qual é a diferença da mandioca para a cadeira?","Se você não sabe, então cuidado onde senta.","2017-09-02","2017-09-02"
"112","Por que planta pequena não fala?","Porque ela é muda!","2017-09-02","2017-09-02"
"113","Qual o lugar mais velho do Brasil?","Porto Velho.","2017-09-02","2017-09-02"
"114","O que tem a cabeça cheia de dentes e os vampiros temem muito?","Alho.","2017-09-02","2017-09-02"
"115","O que o Saci disse pro outro depois da janta?","Estou Saci-ado.","2017-09-02","2017-09-02"
"116","Qual é a cidade mais limpa?","Vassouras.","2017-09-02","2017-09-02"
"117","Qual é a pessoa que descobre as dores dos doentes?","O caça-dor.","2017-09-02","2017-09-02"
"118","Qual cidade tem quatro partes?","FOURtaleza.","2017-09-02","2017-09-02"
"119","O que trabalha apanhando?","Prego.","2017-09-02","2017-09-02"
"120","Qual é o nome do médico que está sempre desligado?","Off-talmologista.","2017-09-02","2017-09-02"
"121","Qual o ator que não assume o que faz?","Arnold Faz-e-nega.","2017-09-02","2017-09-02"
"122","Qual luz vem da ovelha?","Lã-terna.","2017-09-02","2017-09-02"
"123","Qual o rio mais azedo?","Rio Só-limões.","2017-09-02","2017-09-02"
"124","Qual lugar mais certo do Brasil?","Sertão.","2017-09-02","2017-09-02"
"125","Sou velho e sou domado, estava lá no teu primeiro suspiro. Você não pediu, mas sigo você até a morte. Quem sou eu?","Seu nome.","2017-09-02","2017-09-02"
"126","Qual o filme animado favorito do Thor?","Thor Story.","2017-09-02","2017-09-02"
"127","Por que a formiga só tem 4 amigas?","Porque se fossem 5, seriam fivemigas.","2017-09-02","2017-09-02"
"128","Qual a operadora que nunca morre?","Vivo.","2017-09-02","2017-09-02"
"129","Qual a semelhança entre o namoro à distância e a orelha de um boi?","Os dois estão perto do chifre e longe do rabo.","2017-09-02","2017-09-02"
"130","Qual é a cidade preferida das moscas?","Moscou.","2017-09-02","2017-09-02"
"131","Qual é o eletrodoméstico do Thor?","A THORradeira.","2017-09-02","2017-09-02"
"132","Qual é a brincadeira predileta dos tímidos?","Esconde-esconde.","2017-09-02","2017-09-02"
"133","Qual a máquina agrícola preferida do Thor?","O traThor.","2017-09-02","2017-09-02"
"134","Qual é a profissão do Thor?","PinThor.","2017-09-02","2017-09-02"
"135","Que energia só tem em casa?","Energia soLAR.","2017-09-02","2017-09-02"
"136","Por que a galinha subiu na árvore?","Porque ela queria botar pra quebrar.","2017-09-02","2017-09-02"
"137","Por mais bonito que eu seja, quem me vê não me deseja, quem sou eu?","Caixão.","2017-09-02","2017-09-02"
"138","Hoje em dia o que se deve fazer para a visita ir embora?","Deligar o Wi-Fi.","2017-09-02","2017-09-02"
"139","Qual o apelido do para-raio?","Sequestro relâmpago.","2017-09-02","2017-09-02"
"140","Um açougueiro mede 1,80, calça 40 e pesa?","A carne.","2017-09-02","2017-09-02"
"141","Qual a cidade preferida do Papai Noel?","Natal.","2017-09-02","2017-09-02"
"142","Qual avião podemos comer?","14-bis.","2017-09-02","2017-09-02"
"143","Qual carro balança a rede?","Gol.","2017-09-02","2017-09-02"
"144","Qual carro serve pra jogar?","Uno.","2017-09-02","2017-09-02"
"145","Qual a cidade mais venenosa do Brasil?","Cascavel.","2017-09-02","2017-09-02"
"146","Onde é que quem entra, não vê e quem vê, não entra?","Túmulo.","2017-09-02","2017-09-02"
"147","O que o Goku foi fazer na Riachuelo?","Comprar saia-jeans.","2017-09-02","2017-09-02"
"148","O menino foi jogar tênis. Como ele voltou?","Descalço.","2017-09-02","2017-09-02"
"149","Que tipo de barba tem um tubarão.","Barba-tana.","2017-09-02","2017-09-02"
"150","O que é o que é, até a pessoa mais fraca do mundo levanta do chão, mas nem a mais forte consegue atirar longe?","Papel de bala.","2017-09-02","2017-09-02"
"151","Por que o Perna Longa não mente?","Porque a mentira tem perna curta.","2017-09-02","2017-09-02"
"152","Qual fita diz o nome de uma operadora?","Fita de ceTIM.","2017-09-02","2017-09-02"
