;charada
0;Qual a especialidade de Thor? ORTHORpedista.
1;Qual é a luta dos Gaúchos? KaraTCHÊ.
2;Qual é o carro movido a suco? MusTANG
3;Qual é a roupa preferido do macaco? Macacão.
4;Qual é o fenômeno da Natureza que o Thor tem medo? Thornado.
5;Qual a cantora que mais gosta de rir? Ri-hanna.
6;Qual a parte do corpo do Thor que ele mais gosta? THORax.
7;Qual a cantora gosta muito de tomar chá? Chá-quira.
8;Qual é o fruto preferido do Thor? Thormate.
9;Quando foi a primeira vez que os povos da América comeram carne? Quando chegou Cristóvão Com-lombo.
10;Qual é a parte do banheiro que o Thor mais gosta? Da Thorneira.
11;Qual é o país preferido no Natal? Peru.
12;Qual é a tinta que quer ser uma cobra? Coral.
13;Qual é a cidade preferida do Thor? Thórquio.
14;O que o pastel falou para o outro pastel? Estamos fritos.
15;O que nasce uma vez, nasce duas vezes, mas na terceira não nasce mais? Dente.
16;O que o aluno fala para a professora e gosta de receber dos pais? Presente.
17;O que acontece se um ciclista entrar em campo? Ele faz um gol de bicicleta.
18;Qual é o estado preferido do Thor? THORcantins.
19;Nunca para frente, sempre para trás, para crianças sou muito devagar, para adultos fui rápido demais. O que sou? Infância.
20;Nos vire ao avesso, e abra nossas vísceras, você será o mais sábio dos homens, mas, sem nós, será um idiota. O que sou? Livro.
21;De mim, surge vida, para mim, a vida retorna. Homens brigam pela minha posse, mas nenhum deles é meu dono. Água me cerca, mas ao redor dela eu vivo. Quem sou eu, meu amigo? Terra.
22;Assisti ao nascimento de reis e rainhas, meus pés vão mais fundo e minha cabeça mais alto do que tudo que o homem cria. Muitos buscam algo no interior do meu coração, mas, amor, não é algo que encontrarão, como vocês me chamarão? Montanha.
23;Qual é estado que gosta de cavar buracos? Ama-pá.
24;Qual é o estado que gosta de bagunça? Ama-zonas.
25;Qual é a cor preferida da tomada? Rosa-choque.
26;Qual o tipo de panela que está sempre triste? Panela depressão.
27;O que o dinossauro faz uma vez por ano? Aniversauro.
28;O que o nadador faz para bater o recorde? Nada.
29;Qual é a planta que está sempre babando? A babosa.
30;Qual o estado do Brasil queria ser um veículo? Sergipe.
31;O que é, o que é? É salgada e não veio do mar, é gota e não veio do céu, quando cai não quer parar, todo mundo já lambeu? Lágrima.
32;Qual sapato anda de maneira desengonçada? Tá-manco.
33;Não estou vivo, mas cresço. Não tenho pulmões, mas preciso de ar. Não tenho boca, mas a água me mata. O que eu sou? Fogo.
34;O pato botou um ovo, para que lado o ovo rola? Nenhum, porque pato não bota ovo, só a pata bota.
35;Por que o rio foi ao dentista? Para fazer um canal.
36;Em que lugar no mundo mais chove? No chão.
37;Qual é a cidade que quando chove molha os bêbados? Bar-sem-lona.
38;Qual o cantor que é a favor da letra? Pro-jota.
39;Qual a cantora que está bem e sempre pergunta sobre você? Bem-y-ocê?
40;Qual a cidade favorita das moscas? Boston.
41;Qual o estado brasileiro que começa com um membro do seu corpo? Pernambuco.
42;O que é, o que é? Não tem pé e corre, tem leito e não dorme, quando para morre? O rio.
43;Qual é o tipo de música preferida do Papai Noel? É o Rock rou rou rou.
44;Quem é o dono da floresta? Seu Vagem.
45;Qual o país que mais produz vinho? Uva-ticano.
46;Qual a semelhança entre cachorros e ouro? Tem uns quilate.
47;Como fazer uma visita inesperada ir embora? Desligando o Wi-Fi.
48;Qual é a cantora que todo mundo respeita? Lei de Gaga.
49;Qual é a operadora que sempre concorda? Claro.
50;Qual é a operadora que nunca diz tchau? Oi.
51;Qual é a piada do mecânico? Aquela cheia de graxa.
52;Qual é a vó da bebida? A Vó-dka.
53;Qual é a tia dos acessórios? A Tia-ara.
54;O que o azeite disse para o vinagre? Falo nada, só óleo.
55;Qual é a parte do corpo que não tem ar? O só-vacuo.
56;O que um cientista careca disse para um outro cientista careca? Lisossomos.
57;Por que o segurança ganha todas as corridas? Porque segurança em primeiro lugar!
58;O que é uma velha sem relógio? Uma sem hora.
59;Quem é o pai da horta? O seu-noura.
60;Quem é a mãe da horta? A mãe-dioca.
61;Qual é a cidade mais aplaudida do Brasil? Palmas.
62;O que a ovelha disse para a avó? Ô velha.
63;Qual o país que tem uma parte do corpo humano cheio da grana? Costa Rica.
64;Qual é o jogador que corre dando risadas? Kaká.
65;Qual língua os cães falam? Latin.
66;Qual é o dia que nunca chega? O amanhã.
67;O que o pires disse para a xícara? Tira a bunda de cima de mim.
68;Responda se for capaz, sem ficar atrapalhado: nosso rei Pedro II, onde é que foi coroado? Na cabeça.
69;De que o diabo morreu? Diabetes.
70;Qual é a parte do corpo que está sempre ligada? ON-bro.
71;Qual a cantora que tem medo de felinos? Marília MedOnça.
72;O que passa por dentro de casa mas fica do lado de fora? O botão da camisa.
73;Qual é o animal que começa pela fruta e termina pela marcha? Jaca-ré.
